restaurant_name,address,city,state,zip_code,phone,cuisine_type,rating,price,latitude,longitude
Blue Collar,6730 Biscayne Blvd,Miami,FL,33138,13057560366,American (Traditional),4,$$,26.07967414,-80.25222212
Atlantic No 5,605 W Main St,Louisville,KY,40202,15028833398,Breakfast & Brunch,4,$$,25.750963,-80.258375
Famous Dave's,17770 Southcenter Pkwy,Tukwila,WA,98188,12066312000,Barbeque,3,$$,34.02829213,-81.09327574
Quiznos,1595 N Peach Ave,Fresno,CA,93727,15594548477,Fast Food,3,$,44.939642,-93.13603
Hobbit Cafe,2243 Richmond Ave,Houston,TX,77098,17135265460,Breakfast & Brunch,3.5,$$,40.11574901,-83.08946112
Pizzeria 3301,3301 W Canal St,Milwaukee,WI,53208,14144550347,Pizza,3.5,$,29.713354,-95.504259
Pita Pit,141 Township Ave,Ridgeland,MS,39157,16017909925,Sandwiches,4.5,$$,41.8840684,-87.6412297
P.F. Chang's,530 N Wabash Ave,Chicago,IL,60611,13128289977,Chinese,3,$$,39.05737,-94.59787
Marco's Pizza,7930 S Emerson Ave,Indianapolis,IN,46237,13172154359,Pizza,3.5,$,42.231352,-83.48511
King and I,145 Charles St,Boston,MA,2114,16172273320,Thai,3.5,$$,35.089045,-89.8009978
Paulie Gee's Short North,1195 N High St,Columbus,OH,43201,16148080112,Pizza,4.5,$$,33.76105147,-84.34750199
Sonnys Real Pit Bar-B-Q,160 Cobb Pkwy S,Marietta,GA,30060,17704281534,Barbeque,3,$$,39.748452,-104.9967275
Milio's Sandwiches,8366 3rd St N,Oakdale,MN,55128,16517143951,Sandwiches,3,$,36.83842,-119.72741
King Falafel,240 College St,New Haven,CT,6510,12038483076,Falafel,3,$,35.34879263,-80.85325956
Taqueria El Rey De Oros,175 S 900th W,Salt Lake City,UT,84104,18013223176,Mexican,4,$,40.716054,-73.964771
Ruth's Chris Steak House,7844 N Blackstone Ave,Fresno,CA,93720,15594900358,Steakhouses,4,$$$,41.70796204,-88.25324249
Win Hing,9816 4th Ave,Brooklyn,NY,11209,17189215926,Chinese,2.5,$,25.71618989,-80.3459774
Domino's Pizza,788 Forest Ave,Portland,ME,4103,12077741489,Pizza,2,$$,42.49007034,-83.12519836
Dockside Deli,218 E Main St,Port Washington,WI,53074,12622849440,Delis,3.5,$$,26.14222,-80.12049
Mazari Kebab and More,676 N Witchduck Rd,Virginia Beach,VA,23462,17579615968,Afghan,5,$$,42.963798,-71.48028
Pongal,110 Lexington Ave,New York,NY,10016,12126969458,Indian,3.5,$$,40.746323,-73.980324
Johnny Noodle King,2601 W Fort,Detroit,MI,48216,13133097946,Ramen,4,$$,44.91750113,-93.18701684
