,restaurant_name,address,city,state,zip_code,phone,cuisine_type,rating,price,latitude,longitude
0,Blue Collar,6730 Biscayne Blvd,Miami,FL,33138,13057560366,American (Traditional),4,$$,26.07967414,-80.25222212
1,Atlantic No 5,605 W Main St,Louisville,KY,40202,15028833398,Breakfast & Brunch,4,$$,25.750963,-80.258375
2,Famous Dave's,17770 Southcenter Pkwy,Tukwila,WA,98188,12066312000,Barbeque,3,$$,34.02829213,-81.09327574
3,Quiznos,1595 N Peach Ave,Fresno,CA,93727,15594548477,Fast Food,3,$,44.939642,-93.13603
4,Hobbit Cafe,2243 Richmond Ave,Houston,TX,77098,17135265460,Breakfast & Brunch,3.5,$$,40.11574901,-83.08946112
5,Pizzeria 3301,3301 W Canal St,Milwaukee,WI,53208,14144550347,Pizza,3.5,$,29.713354,-95.504259
6,Pita Pit,141 Township Ave,Ridgeland,MS,39157,16017909925,Sandwiches,4.5,$$,41.8840684,-87.6412297
7,P.F. Chang's,530 N Wabash Ave,Chicago,IL,60611,13128289977,Chinese,3,$$,39.05737,-94.59787
8,Marco's Pizza,7930 S Emerson Ave,Indianapolis,IN,46237,13172154359,Pizza,3.5,$,42.231352,-83.48511
9,King and I,145 Charles St,Boston,MA,2114,16172273320,Thai,3.5,$$,35.089045,-89.8009978
10,Paulie Gee's Short North,1195 N High St,Columbus,OH,43201,16148080112,Pizza,4.5,$$,33.76105147,-84.34750199
11,Sonnys Real Pit Bar-B-Q,160 Cobb Pkwy S,Marietta,GA,30060,17704281534,Barbeque,3,$$,39.748452,-104.9967275
12,Milio's Sandwiches,8366 3rd St N,Oakdale,MN,55128,16517143951,Sandwiches,3,$,36.83842,-119.72741
13,King Falafel,240 College St,New Haven,CT,6510,12038483076,Falafel,3,$,35.34879263,-80.85325956
14,Taqueria El Rey De Oros,175 S 900th W,Salt Lake City,UT,84104,18013223176,Mexican,4,$,40.716054,-73.964771
15,Ruth's Chris Steak House,7844 N Blackstone Ave,Fresno,CA,93720,15594900358,Steakhouses,4,$$$,41.70796204,-88.25324249
16,Win Hing,9816 4th Ave,Brooklyn,NY,11209,17189215926,Chinese,2.5,$,25.71618989,-80.3459774
17,Domino's Pizza,788 Forest Ave,Portland,ME,4103,12077741489,Pizza,2,$$,42.49007034,-83.12519836
18,Dockside Deli,218 E Main St,Port Washington,WI,53074,12622849440,Delis,3.5,$$,26.14222,-80.12049
19,Mazari Kebab and More,676 N Witchduck Rd,Virginia Beach,VA,23462,17579615968,Afghan,5,$$,42.963798,-71.48028
20,Pongal,110 Lexington Ave,New York,NY,10016,12126969458,Indian,3.5,$$,40.746323,-73.980324
21,Johnny Noodle King,2601 W Fort,Detroit,MI,48216,13133097946,Ramen,4,$$,44.91750113,-93.18701684
22,P.F. Chang's,11361 NW 12th St,Miami,FL,33172,13055915603,Chinese,3.5,$$,40.7464987,-73.8992328
23,Gourmet 45,721 3rd Ave,New York,NY,10017,12126826220,American (New),2,$$,36.80909,-119.75827
24,Windy Hill Orchard,1860 Black Hwy,York,NC,29745,18036840690,Cideries,4,$$,41.59381,-93.75353
25,Quantum Leap,226 Thompson St,New York,NY,10012,12126778050,Vegetarian,4,$$,39.69348,-104.94019
26,B Alive Vitamins,6757 N Cedar Ave,Fresno,CA,93710,15594310881,Health Markets,4.5,$$,43.61783006,-116.2029109
27,Nan's Games & Comics Too,2011 Southwest Fwy,Houston,TX,77098,17135208700,Toy Stores,3.5,$$,26.4863,-81.785857
28,Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,15592410645,Indian,4.5,$,42.947562,-88.005032
29,Miami Subs Grill,5875 NW 36th St,Miami,FL,33166,17862650401,American (New),3,$,38.227666,-85.735413
30,McAlister's Deli,1001-D Avenida De Las Americas,Houston,TX,77010,18329400660,Salad,2,$$,42.987085,-71.419033
31,Craigie On Main,853 Main St,Cambridge,MA,2139,16174975511,American (New),4,$$$$,26.08812,-80.25185
32,The Original Ninfa's on Navigation,2704 Navigation Blvd,Houston,TX,77003,17132281175,Mexican,4,$$,43.00629593,-87.96758495
33,Fat Cat Creamery,1901 N Shepherd,Houston,TX,77008,17138691080,Ice Cream & Frozen Yogurt,4,$,29.86442,-95.64382
34,Mission BBQ,116 S Independence Blvd,Virginia Beach,VA,23462,17574909050,Barbeque,4.5,$$,29.7429019,-95.4608651
35,Green Lotus,176-59 Union Tpke,Fresh Meadows,NY,11366,17183808567,Chinese,3.5,$,45.51994011,-122.6738122
36,Thyme Natural Market & Cafe,8122 Lefferts Blvd,Kew Gardens,NY,11415,17188470535,Health Markets,4,$$,35.16566,-80.8764999
37,Salad and Go,2006 W Pinnacle Peak Rd,Phoenix,AZ,85027,,Salad,4.5,$,42.7259285,-83.3076352
38,Naan -N- Curry,709 S 3rd St,Renton,WA,98057,14252716226,Indian,3.5,$$,39.6684494,-86.08313751
39,Standard Sweets & Spices,1819 E Dakota Ave,Fresno,CA,93726,15592410645,Indian,4.5,$,40.7693,-73.95823
40,Seeds Marketplace,3607 Trousdale Pkwy,Los Angeles,LA,90089,12138213481,Sandwiches,3,$$,36.12737,-115.173487
